"","study_ID","study_name","species","order","life_stage","animal_source","body_mass_g","respiration_mode","replication_level","dive_type","mean_or_max","acclimation_temp","t1","t2","mean_t","delta_t","t_magnitude","mean_control","sd_control","n_control","se_control","mean_treatment","sd_treatment","n_treatment","se_treatment","shared_control","Q10","source","genus","species_new","species_rotl"
"1","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",21,24,22.5,3,"3",39.78947368,16.05944635,11,4.842105263,28.42105263,15.36120956,11,4.631578947,1,0.325766594,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"2","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",24,27,25.5,3,"3",28.42105263,15.36120956,11,4.631578947,15.78947368,4.887657586,11,1.473684211,2,0.140958623,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"3","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",27,30,28.5,3,"3",15.78947368,4.887657586,11,1.473684211,11.15789474,3.49118399,11,1.052631579,3,0.314327241,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"4","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",21,24,22.5,3,"3",27.36842105,13.31485331,10,4.210526316,21.68421053,9.986139979,10,3.157894737,1,0.460234928,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"5","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",24,27,25.5,3,"3",21.68421053,9.986139979,10,3.157894737,14.10526316,4.660198657,10,1.473684211,2,0.238483641,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"6","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",27,30,28.5,3,"3",14.10526316,4.660198657,10,1.473684211,10.94736842,1.997227996,10,0.631578947,3,0.429630531,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"7","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","28",28,31.5,29.75,3.5,"3",6.666666667,4.614434491,11,1.391304348,4,0.672938363,11,0.202898551,1,0.232352008,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"8","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","28",31.5,35,33.25,3.5,"3",4,0.672938363,11,0.202898551,2.463768116,0.672938363,11,0.202898551,2,0.250429367,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"9","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","31.5",28,31.5,29.75,3.5,"3",8.202898551,1.826546986,11,0.550724638,4.637681159,3.653093972,11,1.101449275,3,0.196056644,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"10","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","31.5",31.5,35,33.25,3.5,"3",4.637681159,3.653093972,11,1.101449275,2.173913043,0.672938363,11,0.202898551,4,0.114771017,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"11","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","35",28,31.5,29.75,3.5,"3",7.768115942,4.710568543,11,1.420289855,4.608695652,2.787887505,11,0.84057971,5,0.224997704,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"12","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","35",31.5,35,33.25,3.5,"3",4.608695652,2.787887505,11,0.84057971,3.391304348,1.53814483,11,0.463768116,6,0.416290397,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"13","116","116_Storey_etal_2008","Elseya albagula","testudines","juveniles","wild",29,"bimodal","individual","voluntary","mean","unreported",20,25,22.5,5,"5-7",27.6,32.45454942,7,12.26666667,15.33333333,5.644269464,7,2.133333333,1,0.308641975,"Fig2A","Elseya","albagula","Elseya_albagula"
"14","116","116_Storey_etal_2008","Elseya albagula","testudines","juveniles","wild",29,"bimodal","individual","voluntary","mean","unreported",25,30,27.5,5,"5-7",15.33333333,5.644269464,7,2.133333333,9.333333333,4.938735781,7,1.866666667,2,0.370510397,"Fig2A","Elseya","albagula","Elseya_albagula"
"15","106","106_Samajova&Gvozdik_2009","Triturus alpestris","urodela","adult","wild",42,"aerial","individual","voluntary","mean","18-16",10,15,12.5,5,"5-7",5.512820513,1.954108603,12,0.564102564,3.320512821,1.154700538,12,0.333333333,1,0.362796106,"Fig2A","Triturus","alpestris","Ichthyosaura_alpestris"
"16","106","106_Samajova&Gvozdik_2009","Triturus alpestris","urodela","adult","wild",42,"aerial","individual","voluntary","mean","18-16",15,20,17.5,5,"5-7",3.320512821,1.154700538,12,0.333333333,2.102564103,0.53293871,12,0.153846154,2,0.400948108,"Fig2A","Triturus","alpestris","Ichthyosaura_alpestris"
"17","106","106_Samajova&Gvozdik_2009","Triturus alpestris","urodela","adult","wild",42,"aerial","individual","voluntary","mean","18-16",20,25,22.5,5,"5-7",2.102564103,0.53293871,12,0.153846154,0.923076923,0.222057796,12,0.064102564,3,0.192742415,"Fig2A","Triturus","alpestris","Ichthyosaura_alpestris"
"18","97","097_Reyes&Milsom_2009","Trachemys scripta elegans","serpentes","adult","captive",26,"aerial","individual","voluntary","mean","9,14.7,20.8",9,14.7,11.85,5.7,"5-7",55.8,1.414213562,8,0.5,51.3,3.959797975,8,1.4,1,0.862850151,"Table2","Trachemys","scripta","Trachemys_scripta"
"19","92","092_Pratt&Franklin_2010","Acrochordus arafurae","serpentes","juvenile","captive",39,"bimodal","individual","voluntary","mean","28",20,26,23,6,"5-7",53.84615385,7.653749516,11,2.307692308,43.07692308,8.291561976,11,2.5,1,0.689419101,"Fig2","Acrochordus","arafurae","Acrochordus_arafurae"
"20","92","092_Pratt&Franklin_2010","Acrochordus arafurae","serpentes","juvenile","captive",39,"bimodal","individual","voluntary","mean","28",26,32,29,6,"5-7",43.07692308,8.291561976,11,2.5,19.61538462,7.015937057,11,2.115384615,2,0.269517471,"Fig2","Acrochordus","arafurae","Acrochordus_arafurae"
"21","120","120_Uriona_etal_2009","Alligator mississippiensis","crocodilia","juvenile","captive",33,"aerial","individual","voluntary","mean","25",22,28,25,6,"5-7",5.227272727,0.561219975,7,0.212121212,2.651515152,0.280609988,7,0.106060606,1,0.322625177,"Fig3A","Alligator","mississippiensis","Alligator_mississippiensis"
"22","99","099_Rodgers&Franlin_2017","Crocodylus porosus","crocodilia","juveniles","captive",38,"aerial","individual","fright","mean","28,34",28,34,31,6,"5-7",18.5,8.313843876,12,2.4,9,3.741657387,14,1,1,0.300920172,"In text pg.3559","Crocodylus","porosus","Crocodylus_porosus"
"23","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",21,27,24,6,"5-7",39.78947368,16.05944635,11,4.842105263,15.78947368,4.887657586,11,1.473684211,1,0.214288615,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"24","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",24,30,27,6,"5-7",28.42105263,15.36120956,11,4.631578947,11.15789474,3.49118399,11,1.052631579,2,0.210492601,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"25","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",21,27,24,6,"5-7",27.36842105,13.31485331,10,4.210526316,14.10526316,4.660198657,10,1.473684211,1,0.331298206,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"26","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",24,30,27,6,"5-7",21.68421053,9.986139979,10,3.157894737,10.94736842,1.997227996,10,0.631578947,2,0.320093507,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"27","97","097_Reyes&Milsom_2009","Trachemys scripta elegans","serpentes","adult","captive",26,"aerial","individual","voluntary","mean","9,14.7,20.8",14.7,20.8,17.75,6.1,"5-7",51.3,3.959797975,8,1.4,54,1.959591794,6,0.8,2,1.087723922,"Table2","Trachemys","scripta","Trachemys_scripta"
"28","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","28",28,35,31.5,7,"5-7",6.666666667,4.614434491,11,1.391304348,2.463768116,0.672938363,11,0.202898551,1,0.241221405,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"29","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","31.5",28,35,31.5,7,"5-7",8.202898551,1.826546986,11,0.550724638,2.173913043,0.672938363,11,0.202898551,3,0.150005401,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"30","101","101_Rodgers_etal_2015","Crocodylus porosus","crocodilia","juveniles","captive",40,"aerial","individual","fright","mean","35",28,35,31.5,7,"5-7",7.768115942,4.710568543,11,1.420289855,3.391304348,1.53814483,11,0.463768116,5,0.306046375,"Fig2B","Crocodylus","porosus","Crocodylus_porosus"
"31","93","093_Priest&Franklin_2002","Emydura macquarii","testudines","adult","wild",30,"bimodal","individual","voluntary","mean","23",23,30,26.5,7,"5-7",4.88372093,2.600079044,5,1.162790698,6.511627907,3.640110661,5,1.627906977,2,1.508286728,"Fig1B","Emydura","macquarii","Emydura_macquarii"
"32","93","093_Priest&Franklin_2002","Rheodytes leukops","testudines","adult","wild",28,"bimodal","individual","voluntary","mean","23",23,30,26.5,7,"5-7",35.78947368,19.33807692,6,7.894736842,15.26315789,11.60284615,6,4.736842105,2,0.295985286,"Fig1A","Rheodytes","leukops","Rheodytes_leukops"
"33","128","128_Santos_etal_1990","Chrysemys dorbignyi","testudines","adult","wild",32,"bimodal","individual","voluntary","mean","18,25.4",18,25.4,21.7,7.4,"5-7",9.4,6.7,6,NA,4.1,5.2,10,NA,1,0.325873206,"Table1","Chrysemys","dorbignyi","Trachemys_dorbigni"
"34","11","011_Bruton_etal_2012","Acrochordus arafurae","serpentes","juvenile","captive",41,"bimodal","individual","voluntary","mean","24",24,32,28,8,"8-9",50.17857143,8.081220356,8,2.857142857,26.96428571,5.555838995,8,1.964285714,1,0.460085222,"fig1b","Acrochordus","arafurae","Acrochordus_arafurae"
"35","11","011_Bruton_etal_2012","Acrochordus arafurae","serpentes","juvenile","captive",41,"bimodal","individual","voluntary","mean","32",24,32,28,8,"8-9",56.60714286,10.17857143,9,3.392857143,32.32142857,6.964285714,9,2.321428571,2,0.496334131,"fig1b","Acrochordus","arafurae","Acrochordus_arafurae"
"36","107","107_Schaffer_etal_2016","Elseya irwini","testudines","adult","wild",37,"bimodal","individual","voluntary","mean","17,25",17,25,21,8,"8-9",97.4,30.3,9,10.1,25.1,4.8,9,1.6,1,0.183608785,"Table1","Elseya","irwini","Elseya_irwini"
"37","93","093_Priest&Franklin_2002","Emydura macquarii","testudines","adult","wild",30,"bimodal","individual","voluntary","mean","23",15,23,19,8,"8-9",32.55813953,16.64050588,5,7.441860465,4.88372093,2.600079044,5,1.162790698,1,0.093349947,"Fig1B","Emydura","macquarii","Emydura_macquarii"
"38","93","093_Priest&Franklin_2002","Rheodytes leukops","testudines","adult","wild",28,"bimodal","individual","voluntary","mean","23",15,23,19,8,"8-9",98.94736842,55.43582049,6,22.63157895,35.78947368,19.33807692,6,7.894736842,1,0.280503852,"Fig1A","Rheodytes","leukops","Rheodytes_leukops"
"39","119","119_Udyawer_etal_2016","Hydrophis curtus","serpentes","unspecified","wild",31,"bimodal","individual","voluntary","mean","27",21,30,25.5,9,"8-9",39.78947368,16.05944635,11,4.842105263,11.15789474,3.49118399,11,1.052631579,1,0.243478195,"Fig1B","Hydrophis","curtus","Hydrophis_curtus"
"40","119","119_Udyawer_etal_2016","Hydrophis elegans","serpentes","unspecified","wild",25,"bimodal","individual","voluntary","mean","27",21,30,25.5,9,"8-9",27.36842105,13.31485331,10,4.210526316,10.94736842,1.997227996,10,0.631578947,1,0.361280428,"Fig1B","Hydrophis","elegans","Hydrophis_elegans"
"41","90","090_Prassack_etal_2001","Apalone ferox","testudines","unspecified","wild",27,"bimodal","individual","voluntary","mean","25/15",15,25,20,10,"10plus",18.6,11.7,9,3.9,5.4,3,9,1,2,0.290322581,"Table2","Apalone","ferox","Apalone_ferox"
"42","90","090_Prassack_etal_2001","Chrysemys picta","testudines","unspecified","wild",35,"bimodal","individual","voluntary","mean","25/15",15,25,20,10,"10plus",5.7,2.984962311,11,0.9,3.9,2.653299832,11,0.8,1,0.684210526,"Table2","Chrysemys","picta","Chrysemys_picta"
"43","116","116_Storey_etal_2008","Elseya albagula","testudines","juveniles","wild",29,"bimodal","individual","voluntary","mean","unreported",20,30,25,10,"10plus",27.6,32.45454942,7,12.26666667,9.333333333,4.938735781,7,1.866666667,1,0.338164251,"Fig2A","Elseya","albagula","Elseya_albagula"
"44","3","003_Aubret_etal_2015","Natrix maura ","serpentes","juvenile","wild",42,"aerial","individual","fright","mean","18",10,20,15,10,"10plus",57.27272727,34.54246399,231,2.272727273,11.13636364,13.81698559,231,0.909090909,1,0.194444444,"fig1","Natrix","maura","Natrix_maura"
"45","3","003_Aubret_etal_2015","Natrix maura ","serpentes","juvenile","wild",42,"aerial","individual","fright","mean","18",20,30,25,10,"10plus",11.13636364,13.81698559,231,0.909090909,3.636363636,10.3627392,231,0.681818182,2,0.326530612,"fig1","Natrix","maura","Natrix_maura"
"46","106","106_Samajova&Gvozdik_2009","Triturus alpestris","urodela","adult","wild",42,"aerial","individual","voluntary","mean","18-16",10,20,15,10,"10plus",5.512820513,1.954108603,12,0.564102564,2.102564103,0.53293871,12,0.153846154,1,0.381395349,"Fig2A","Triturus","alpestris","Ichthyosaura_alpestris"
"47","106","106_Samajova&Gvozdik_2009","Triturus alpestris","urodela","adult","wild",42,"aerial","individual","voluntary","mean","18-16",15,25,20,10,"10plus",3.320512821,1.154700538,12,0.333333333,0.923076923,0.222057796,12,0.064102564,2,0.277992278,"Fig2A","Triturus","alpestris","Ichthyosaura_alpestris"
"48","23","023_Clark_etal_2008","Elusor macrurus","testudines","juvenile","wild",34,"bimodal","individual","voluntary","mean","17",17,28,22.5,11,"10plus",765,521.7413152,6,213,8.36,1.420704051,6,0.58,1,0.016476272,"In text pg. 304","Elusor","macrurus","Elusor_macrurus"
"49","23","023_Clark_etal_2008","Elusor macrurus","testudines","juvenile","wild",36,"bimodal","individual","voluntary","mean","28",17,28,22.5,11,"10plus",125,55.56077753,7,21,6.78,2.539921259,7,0.96,2,0.070693833,"In text pg. 304","Elusor","macrurus","Elusor_macrurus"
"50","97","097_Reyes&Milsom_2009","Trachemys scripta elegans","serpentes","adult","captive",26,"aerial","individual","voluntary","mean","9,14.7,20.8",9,20.8,14.9,11.8,"10plus",55.8,1.414213562,8,0.5,54,1.959591794,6,0.8,1,0.972594549,"Table2","Trachemys","scripta","Trachemys_scripta"
"51","92","092_Pratt&Franklin_2010","Acrochordus arafurae","serpentes","juvenile","captive",39,"bimodal","individual","voluntary","mean","28",20,32,26,12,"10plus",53.84615385,7.653749516,11,2.307692308,19.61538462,7.015937057,11,2.115384615,1,0.431057412,"Fig2","Acrochordus","arafurae","Acrochordus_arafurae"
"52","93","093_Priest&Franklin_2002","Emydura macquarii","testudines","adult","wild",30,"bimodal","individual","voluntary","mean","23",15,30,22.5,15,"10plus",32.55813953,16.64050588,5,7.441860465,6.511627907,3.640110661,5,1.627906977,1,0.341995189,"Fig1B","Emydura","macquarii","Emydura_macquarii"
"53","93","093_Priest&Franklin_2002","Rheodytes leukops","testudines","adult","wild",28,"bimodal","individual","voluntary","mean","23",15,30,22.5,15,"10plus",98.94736842,55.43582049,6,22.63157895,15.26315789,11.60284615,6,4.736842105,1,0.287625089,"Fig1A","Rheodytes","leukops","Rheodytes_leukops"
"54","106","106_Samajova&Gvozdik_2009","Triturus alpestris","urodela","adult","wild",42,"aerial","individual","voluntary","mean","18-16",10,25,17.5,15,"10plus",5.512820513,1.954108603,12,0.564102564,0.923076923,0.222057796,12,0.064102564,1,0.303791786,"Fig2A","Triturus","alpestris","Ichthyosaura_alpestris"
"55","3","003_Aubret_etal_2015","Natrix maura ","serpentes","juvenile","wild",42,"aerial","individual","fright","mean","18",10,30,20,20,"10plus",57.27272727,34.54246399,231,2.272727273,3.636363636,10.3627392,231,0.681818182,1,0.251976315,"fig1","Natrix","maura","Natrix_maura"
